internal_id,gtdb_genus,gtdb_family,gtdb_species
MMO-24,Chania,Enterobacteriaceae,Chania oryzae
MMO-25,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
MMO-26,Micrococcus,Micrococcaceae,Micrococcus luteus
MMO-27,Micrococcus,Micrococcaceae,Micrococcus luteus
MMO-122,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
MMO-109,Comamonas,Burkholderiaceae,Comamonas acidovorans
MMO-113,Microbacterium,Microbacteriaceae,Microbacterium sp001866135
MMO-114,Bacillus,Bacillaceae,Bacillus licheniformis
MMO-108,Peribacillus,DSM-1321,Peribacillus frigoritolerans
MMO-110,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
MMO-81,Staphylococcus,Staphylococcaceae,Staphylococcus capitis
MMO-87,Sphingobacterium,Sphingobacteriaceae,Sphingobacterium multivorum
MMO-88,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-82,Achromobacter,Burkholderiaceae,Achromobacter ruhlandii
MMO-83,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-84,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-86,NA,NA,NA
MMO-89,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-161,Leucobacter,Microbacteriaceae,NA
MMO-90,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-94,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
MMO-160,Citricoccus,Micrococcaceae,Citricoccus terreus
MMO-159,Microbacterium,Microbacteriaceae,Microbacterium sp003248845
MMO-30,NA,NA,NA
MMO-29,Micrococcus,Micrococcaceae,Micrococcus luteus
MMO-136,Micrococcus,Micrococcaceae,Micrococcus luteus
MMO-139,NA,NA,NA
MMO-140,Staphylococcus,Staphylococcaceae,Staphylococcus saprophyticus
MMO-34,Asaia,Acetobacteraceae,Asaia bogorensis
MMO-138,Microbacterium,Microbacteriaceae,Microbacterium sp017306305
MMO-28,Chania,Enterobacteriaceae,Chania oryzae
MMO-67,Micrococcus,Micrococcaceae,Micrococcus luteus
USHLN172,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN195,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN153,Leucobacter,Microbacteriaceae,NA
USHLN190,Bacillus,Bacillaceae,Bacillus subtilis
USHLN181,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN200,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN205,Staphylococcus,Staphylococcaceae,Staphylococcus nepalensis
USHLN160,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN234,Sinomonas,Micrococcaceae,Sinomonas albida
USHLN220,Kocuria,Micrococcaceae,Kocuria marina
USHLN198,Pantoea,Enterobacteriaceae,Pantoea ananatis
USHLN229,Micrococcus,Micrococcaceae,Micrococcus luteus
USHLN217,Kocuria,Micrococcaceae,Kocuria marina
USHLN230,Micrococcus,Micrococcaceae,Micrococcus luteus
USHLN158,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN164,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN179,Enterobacter,Enterobacteriaceae,Enterobacter asburiae
USHLN184,Enterobacter,Enterobacteriaceae,Enterobacter asburiae
