#BGC Name	Clan Number	Family Number
USHLN153_contigs.fa_antismash_contig00007.region001	28	4043
USHLN154_contigs.fa_antismash_contig00006.region001	28	4047
USHLN154_contigs.fa_antismash_contig00007.region001	28	4048
USHLN155_contigs.fa_antismash_contig00010.region001	28	4052
USHLN169_contigs.fa_antismash_contig00002.region001	28	4132
USHLN173_contigs.fa_antismash_contig00003.region001	28	4132
USHLN205_contigs.fa_antismash_contig00003.region001	28	4132
USHLN186_contigs.fa_antismash_contig00004.region001	28	4179
USHLN188_contigs.fa_antismash_contig00001.region001	28	4181
USHLN190_contigs.fa_antismash_contig00003.region001	28	4181
BGC0001089	28	4197
USHLN188_contigs.fa_antismash_contig00001.region004	28	4197
USHLN190_contigs.fa_antismash_contig00002.region002	28	4197
USHLN196_contigs.fa_antismash_contig00003.region001	28	4246
USHLN196_contigs.fa_antismash_contig00003.region002	28	4247
USHLN208_contigs.fa_antismash_contig00003.region001	28	4294
USHLN197_contigs.fa_antismash_contig00002.region002	28	4304
USHLN211_contigs.fa_antismash_contig00002.region001	28	4304
USHLN213_contigs.fa_antismash_contig00005.region001	28	4316
USHLN213_contigs.fa_antismash_contig00010.region001	28	4319
USHLN215_contigs.fa_antismash_contig00010.region001	28	4324
USHLN218_contigs.fa_antismash_contig00003.region001	28	4339
CR41_contigs.fa_antismash_contig00025.region001	28	4353
CR42_contigs.fa_antismash_contig00029.region001	28	4353
MMO-31_contigs.fa_antismash_contig00003.region001	28	4353
USHLN226_contigs.fa_antismash_contig00023.region001	28	4353
USHLN210_contigs.fa_antismash_contig00001.region001	28	4358
USHLN217_contigs.fa_antismash_contig00008.region001	28	4358
USHLN220_contigs.fa_antismash_contig00001.region001	28	4358
USHLN228_contigs.fa_antismash_contig00001.region001	28	4358
USHLN234_contigs.fa_antismash_contig00009.region001	28	4385
USHLN248_contigs.fa_antismash_contig00016.region001	28	4388
USHLN268_contigs.fa_antismash_contig00004.region001	28	4449
USHLN278_contigs.fa_antismash_contig00003.region001	28	4449
USHLN272_contigs.fa_antismash_contig00001.region001	28	4461
USHLN272_contigs.fa_antismash_contig00001.region002	28	4462
USHLN279_contigs.fa_antismash_contig00008.region001	28	4478
USHLN280_contigs.fa_antismash_contig00008.region001	28	4478
USHLN018_contigs.fa_antismash_contig00003.region001	28	4778
USMM082_contigs.fa_antismash_contig00001.region003	28	4778
USMM083_contigs.fa_antismash_contig00001.region003	28	4778
USMM099_contigs.fa_antismash_contig00001.region002	28	4885
USMM108_contigs.fa_antismash_contig00001.region001	28	4885
CR11_contigs.fa_antismash_contig00002.region002	28	4935
MMO-99_contigs.fa_antismash_contig00005.region001	28	4935
USMM114_contigs.fa_antismash_contig00003.region001	28	4935
USMM116_contigs.fa_antismash_contig00003.region001	28	4935
USMM117_contigs.fa_antismash_contig00011.region001	28	4941
USMM118_contigs.fa_antismash_contig00001.region001	28	4941
USMM236_contigs.fa_antismash_contig00002.region001	28	4997
USMM236_contigs.fa_antismash_contig00006.region001	28	5003
VD34_contigs.fa_antismash_contig00001.region001	28	5148
VD34_contigs.fa_antismash_contig00004.region001	28	5153
VD34_contigs.fa_antismash_contig00005.region001	28	5154
