#BGC Name	Family Number
CR41_contigs.fa_antismash_contig00025.region001	4353
CR42_contigs.fa_antismash_contig00029.region001	4353
MMO-31_contigs.fa_antismash_contig00003.region001	4353
USHLN226_contigs.fa_antismash_contig00023.region001	4353
USHLN210_contigs.fa_antismash_contig00001.region001	4358
USHLN217_contigs.fa_antismash_contig00008.region001	4358
USHLN220_contigs.fa_antismash_contig00001.region001	4358
USHLN228_contigs.fa_antismash_contig00001.region001	4358
USHLN234_contigs.fa_antismash_contig00009.region001	4385
USHLN248_contigs.fa_antismash_contig00016.region001	4388
USHLN268_contigs.fa_antismash_contig00004.region001	4449
USHLN278_contigs.fa_antismash_contig00003.region001	4449
USHLN272_contigs.fa_antismash_contig00001.region001	4461
USHLN272_contigs.fa_antismash_contig00001.region002	4462
USHLN279_contigs.fa_antismash_contig00008.region001	4478
USHLN280_contigs.fa_antismash_contig00008.region001	4478
USHLN018_contigs.fa_antismash_contig00003.region001	4778
USMM082_contigs.fa_antismash_contig00001.region003	4778
USMM083_contigs.fa_antismash_contig00001.region003	4778
USMM099_contigs.fa_antismash_contig00001.region002	4885
USMM108_contigs.fa_antismash_contig00001.region001	4885
CR11_contigs.fa_antismash_contig00002.region002	4935
MMO-99_contigs.fa_antismash_contig00005.region001	4935
USMM114_contigs.fa_antismash_contig00003.region001	4935
USMM116_contigs.fa_antismash_contig00003.region001	4935
USMM117_contigs.fa_antismash_contig00011.region001	4941
USMM118_contigs.fa_antismash_contig00001.region001	4941
USMM236_contigs.fa_antismash_contig00002.region001	4997
USMM236_contigs.fa_antismash_contig00006.region001	5003
VD34_contigs.fa_antismash_contig00001.region001	5148
VD34_contigs.fa_antismash_contig00004.region001	5153
VD34_contigs.fa_antismash_contig00005.region001	5154
VD34_contigs.fa_antismash_contig00018.region001	5162
VD34_contigs.fa_antismash_contig00046.region001	5171
VD34_contigs.fa_antismash_contig00047.region001	5172
VD34_contigs.fa_antismash_contig00053.region001	5174
VD34_contigs.fa_antismash_contig00055.region001	5175
VD34_contigs.fa_antismash_contig00065.region001	5177
VD34_contigs.fa_antismash_contig00073.region001	5178
VD34_contigs.fa_antismash_contig00074.region001	5179
VD34_contigs.fa_antismash_contig00083.region001	5179
VD7_contigs.fa_antismash_contig00007.region001	5189
